"asset_tag","model_category","model","model.display_name","assigned_to","install_status","ci"
"","IP Router","AudioCodes SFP Transceiver 3000","AudioCodes SFP Transceiver 3000","","In use","acl_9123817"
"","IP Router","Infoblox Trinzic DDI Appliances 2225","Infoblox Trinzic DDI Appliances 2225","","In use","retaildr"
"4300572","IP Router","Cisco Systems, Inc. SNS 3600 Series SNS-3695-K9","Cisco Systems, Inc. SNS 3600 Series SNS-3695-K9","","In use","cld-ise-wlan-1"
"A0001771785","IP Router","Cisco Systems, Inc. Nexus 9300-FX2 Series 9336C-FX2","Cisco Systems, Inc. Nexus 9300-FX2 Series 9336C-FX2","","In use","rriwsdc-9336-ca31-u40-fwccl-2"
"","IP Router","Cisco Systems, Inc. Catalyst 8500 Series C8500-12X","Cisco Systems, Inc. Catalyst 8500 Series C8500-12X","","In use","rricmdc-edge-rtr-f22-02"
"","IP Router","Cisco Systems, Inc. Nexus 9300 Series Switches N9K-C9364C","Cisco Systems, Inc. Nexus 9300 Series Switches N9K-C9364C","","In use","mid-l3-s29w11-ru31-sp1"
"","IP Router","Infoblox Trinzic DDI Appliances ib1415","Infoblox Trinzic DDI Appliances ib1415","","In use","eazshdccteibx-1"
"","IP Router","AudioCodes MediaPack Series MP-114","AudioCodes MediaPack Series MP-114","","In use",""
"","IP Router","AudioCodes MediaPack Series MP-114","AudioCodes MediaPack Series MP-114","","In use","ac_atl_mp118_ fxs_1"
"A0001488843","IP Router","Cisco Systems, Inc. ASR 1000 Series ASR1002X-5G-HA-K9","Cisco Systems, Inc. ASR 1000 Series ASR1002X-5G-HA-K9","","In use","pazshdc-wan-mplaet-04"
"","IP Router","Unknown","Unknown","","In use","rpaphdr-oob-mdf-01"
"","IP Router","Infoblox Trinzic DDI Appliances 1415","Infoblox Trinzic DDI Appliances 1415","","In use","eazshdcdnsibxstp-1"
"","IP Router","Unknown","Unknown","","In use","pazshdc-sec-ext-mplswest-01-teleperformance"
"","IP Router","Cisco Systems, Inc. 4000 Integrated Services Router ISR4331","Cisco Systems, Inc. 4000 Integrated Services Router ISR4331","","In use","rmashom-vgr-mdf-01"
"","IP Router","Unknown","Unknown","","In use","pazshdc-sec-ext-mplswest-01-conduent"
"","IP Router","AudioCodes SFP Transceiver 3000","AudioCodes SFP Transceiver 3000","","In use","acl_7653175"
"A0001776112","IP Router","Cisco Systems, Inc. 4000 Integrated Services Router ISR4431/K9","Cisco Systems, Inc. 4000 Integrated Services Router ISR4431/K9","","In use","phihomo-sdwan-mdf-02"
"4306577","IP Router","Cisco Systems, Inc. SNS 3600 Series SNS-3695-K9","Cisco Systems, Inc. SNS 3600 Series SNS-3695-K9","","In use","cld-ise-wlan-3"
"","IP Router","Cisco Systems, Inc. Nexus 9300-GX2 Series N9K-C9332D-GX2B","Cisco Systems, Inc. Nexus 9300-GX2 Series N9K-C9332D-GX2B","","In use","lgs1502-06b-0110-mbgw02"
"","IP Router","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","","In use","lgs1402-07c-0110-oob-as06"
"","IP Router","Tandberg Webex Board 55","Tandberg Webex Board 55","","In use","scottsdale room 1"
"","IP Router","Infoblox Trinzic DDI Appliances 2225","Infoblox Trinzic DDI Appliances 2225","","In use","eazshdcdnsibxgm-1"
"","IP Router","Cisco Systems, Inc. Nexus 9300 Series Switches N9K-C9364C","Cisco Systems, Inc. Nexus 9300 Series Switches N9K-C9364C","","In use","mid-l3-s29w12-ru31-sp2"
