#STEM=all_IP_networks
#VERSION=v20260828r15
#ROWS=25704
#CREATED=2026-08-23T15:41:25Z
#TOOL=update_ipam.py v1.16
#NOTE=Delta update: +5 subnets from preprocess
#END_HEADER
#UPDATED=2026-08-25T02:18:35Z
#GENERATOR=ipam-db.py v3.36.4 --update-patch all_IP_networks_egress_rd_REMOVE_childless_v20260824.csv +0 -340 rows
#UPDATED=2026-08-25T02:20:41Z
#GENERATOR=ipam-db.py v3.36.4 --update-patch all_IP_networks_egress_rd_ADD_childless_v20260824.csv +340 -0 rows
#UPDATED=2026-08-25T02:26:15Z
#GENERATOR=ipam-db.py v3.36.4 --update-patch all_IP_networks_egress_rd_REMOVE_orphan_10.18.79.50_v20260824.csv +0 -1 rows
#UPDATED=2026-08-25T02:27:34Z
#GENERATOR=ipam-db.py v3.36.4 --update-patch all_IP_networks_egress_rd_ADD_orphan_10.18.79.50_v20260824.csv +1 -0 rows
#UPDATED=2026-08-25T02:30:54Z
#GENERATOR=ipam-db.py v3.36.4 --update-patch all_IP_networks_egress_rd_REMOVE_orphan_10.18.79.50_v20260824.csv +0 -1 rows
#UPDATED=2026-08-25T02:32:02Z
#GENERATOR=ipam-db.py v3.36.4 --update-patch all_IP_networks_egress_rd_REMOVE_groups_v20260824.csv +0 -817 rows
#UPDATED=2026-08-25T02:33:54Z
#GENERATOR=ipam-db.py v3.36.4 --update-patch all_IP_networks_egress_rd_ADD_parents_v20260824.csv +227 -0 rows
#UPDATED=2026-08-25T02:34:54Z
#GENERATOR=ipam-db.py v3.36.4 --update-patch all_IP_networks_egress_rd_ADD_children_v20260824.csv +590 -0 rows
#UPDATED=2026-08-26T03:25:15Z
#GENERATOR=ipam-db.py v3.36.8 --update-patch all_IP_networks_egress_rd_REMOVE_childless_v20260825.csv +0 -4423 rows
#UPDATED=2026-08-26T03:26:38Z
#GENERATOR=ipam-db.py v3.36.8 --update-patch all_IP_networks_egress_rd_ADD_childless_v20260825.csv +4423 -0 rows
#UPDATED=2026-08-27T02:53:40Z
#GENERATOR=ipam-db.py v3.36.8 --update-patch all_IP_networks_egress_rd_REMOVE_groups_v20260826.csv +0 -5238 rows
#UPDATED=2026-08-27T02:58:33Z
#GENERATOR=ipam-db.py v3.36.8 --update-patch all_IP_networks_egress_rd_ADD_parents_v20260826.csv +728 -0 rows
#UPDATED=2026-08-27T02:59:57Z
#GENERATOR=ipam-db.py v3.36.8 --update-patch all_IP_networks_egress_rd_ADD_children_v20260826.csv +4510 -0 rows
#UPDATED=2026-08-27T18:50:40Z
#GENERATOR=ipam-db.py v3.36.9 --update-patch all_IP_networks_egress_rd_REMOVE_childless_v20260827.csv +0 -44 rows
#UPDATED=2026-08-27T18:51:34Z
#GENERATOR=ipam-db.py v3.36.9 --update-patch all_IP_networks_egress_rd_ADD_childless_v20260827.csv +44 -0 rows
#UPDATED=2026-08-27T19:06:48Z
#GENERATOR=ipam-db.py v3.37.2 --update-patch all_IP_networks_egress_rd_REMOVE_groups_v20260827.csv +0 -6 rows
#UPDATED=2026-08-27T19:07:52Z
#GENERATOR=ipam-db.py v3.37.2 --update-patch all_IP_networks_egress_rd_ADD_parents_v20260827.csv +2 -0 rows
#UPDATED=2026-08-27T19:09:04Z
#GENERATOR=ipam-db.py v3.37.2 --update-patch all_IP_networks_egress_rd_ADD_children_v20260827.csv +4 -0 rows
#UPDATED=2026-08-28T16:48:53Z
#GENERATOR=ipam-db.py v3.37.2 --update-patch all_IP_networks_egress_rd_REMOVE_childless_v20260828.csv +0 -436 rows
#UPDATED=2026-08-28T16:51:50Z
#GENERATOR=ipam-db.py v3.37.2 --update-patch all_IP_networks_egress_rd_ADD_childless_v20260828.csv +436 -0 rows
#UPDATED=2026-08-28T16:53:25Z
#GENERATOR=ipam-db.py v3.37.2 --update-patch all_IP_networks_egress_rd_REMOVE_groups_v20260828.csv +0 -1214 rows
#UPDATED=2026-08-28T16:55:48Z
#GENERATOR=ipam-db.py v3.37.2 --update-patch all_IP_networks_egress_rd_ADD_parents_v20260828.csv +90 -0 rows
#UPDATED=2026-08-28T16:57:54Z
#GENERATOR=ipam-db.py v3.37.2 --update-patch all_IP_networks_egress_rd_ADD_children_v20260828.csv +1124 -0 rows
#UPDATED=2026-08-28T18:24:16Z
#GENERATOR=ipam-db.py v3.37.2 --update-patch all_IP_networks_egress_rd_REMOVE_childless_v20260828.csv +0 -436 rows
#UPDATED=2026-08-28T18:35:56Z
#GENERATOR=ipam-db.py v3.37.2 --update-patch all_IP_networks_egress_rd_ADD_childless_v20260828.csv +436 -0 rows
#UPDATED=2026-08-28T18:42:21Z
#GENERATOR=ipam-db.py v3.37.2 --update-patch all_IP_networks_egress_rd_REMOVE_groups_v20260828.csv +0 -1214 rows
#UPDATED=2026-08-28T18:46:11Z
#GENERATOR=ipam-db.py v3.37.2 --update-patch all_IP_networks_egress_rd_ADD_parents_v20260828.csv +90 -0 rows
#UPDATED=2026-08-28T18:48:53Z
#GENERATOR=ipam-db.py v3.37.2 --update-patch all_IP_networks_egress_rd_ADD_children_v20260828.csv +1124 -0 rows
#UPDATED=2026-08-28T19:53:58Z
#GENERATOR=ipam-db.py v3.37.3 --update-patch all_IP_networks_egress_rd_REMOVE_childless_v20260828r1.csv +0 -213 rows
#UPDATED=2026-08-28T19:56:56Z
#GENERATOR=ipam-db.py v3.37.3 --update-patch all_IP_networks_egress_rd_ADD_childless_v20260828r1.csv +213 -0 rows
#UPDATED=2026-08-28T20:00:27Z
#GENERATOR=ipam-db.py v3.37.3 --update-patch all_IP_networks_egress_rd_REMOVE_groups_v20260828r1.csv +0 -5371 rows
#UPDATED=2026-08-28T20:55:56Z
#GENERATOR=ipam-db.py v3.37.3 --update-patch all_IP_networks_egress_rd_ADD_parents_v20260828r1.csv +113 -0 rows
#UPDATED=2026-08-28T20:57:45Z
#GENERATOR=ipam-db.py v3.37.3 --update-patch all_IP_networks_egress_rd_ADD_children_v20260828r1.csv +5258 -0 rows
CIDR,PREFIX_LEN,NETWORK_ADDRESS,BROADCAST_ADDRESS,SITE_CODE,CANONICAL_LOCATION,LOCATION_TYPE,HERITAGE,STATUS,NET_TYPE,ROUTING_DOMAIN,FACILITY_TYPE,STORE_NUMBER,COMM_TYPE,DATA_QUALITY,SOURCE,DATASET_VERSION,LOC_MASTER_VERSION,CONTESTED_BLOCK,EXT_ID_REFS
4.2.58.0/30,30.0,4.2.58.0,4.2.58.3,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
4.14.69.208/28,28.0,4.14.69.208,4.14.69.223,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
4.14.179.124/30,30,4.14.179.124,4.14.179.127,US_MIC_CT_DC,Middletown CT - Aetna MDC,DataCenter,PARTNER,Active,P2P-WAN,Internet-Facing,DataCenter,,CenturyLink|BDKW3591|CVS:.126,Authoritative,BGP-Config,20260603r19,v5.19,,
4.31.154.64/30,30,4.31.154.64,4.31.154.67,US_MIC_CT_DC,Middletown CT - Aetna MDC,DataCenter,PARTNER,Active,P2P-WAN,Internet-Facing,DataCenter,,CenturyLink BGP peer /30 transport — CVS:.65 ISP:.66,Authoritative,BGP-Config,20260603r19,v5.19,,
4.36.250.148/30,30.0,4.36.250.148,4.36.250.151,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.8.3.0/24,24.0,10.8.3.0,10.8.3.255,US_EWN_NJ_TP,East Windsor NJ - Conduent,Partner,CVS,Active,Partner,Partner,Corporate,,,Authoritative,NMS,20260603r19,v5.19,,
10.8.3.8/30,30.0,10.8.3.8,10.8.3.11,US_EWN_NJ_TP,East Windsor NJ - Conduent,Partner,CVS,Active,Partner,Partner,Corporate,,,Authoritative,NMS,20260603r19,v5.19,,
10.8.3.12/30,30.0,10.8.3.12,10.8.3.15,US_EWN_NJ_TP,East Windsor NJ - Conduent,Partner,CVS,Active,Partner,Partner,Corporate,,,Authoritative,NMS,20260603r19,v5.19,,
10.8.3.16/30,30.0,10.8.3.16,10.8.3.19,US_EWN_NJ_TP,East Windsor NJ - Conduent,Partner,CVS,Active,Partner,Partner,Corporate,,,Authoritative,NMS,20260603r19,v5.19,,
10.8.3.20/30,30.0,10.8.3.20,10.8.3.23,US_EWN_NJ_TP,East Windsor NJ - Conduent,Partner,CVS,Active,Partner,Partner,Corporate,,,Authoritative,NMS,20260603r19,v5.19,,
10.8.34.0/24,24.0,10.8.34.0,10.8.34.255,PH_MUN_MM_TP,Muntinlupa City PH - HGS,Partner,PARTNER,Active,Partner,Partner,Partner,,,Authoritative,NMS,20260603r19,v5.19,,
10.8.34.8/30,30.0,10.8.34.8,10.8.34.11,PH_MUN_MM_TP,Muntinlupa City PH - HGS,Partner,PARTNER,Active,Partner,Partner,Partner,,,Authoritative,NMS,20260603r19,v5.19,,
10.8.34.12/30,30.0,10.8.34.12,10.8.34.15,PH_MUN_MM_TP,Muntinlupa City PH - HGS,Partner,PARTNER,Active,Partner,Partner,Partner,,,Authoritative,NMS,20260603r19,v5.19,,
10.8.34.16/30,30.0,10.8.34.16,10.8.34.19,PH_MUN_MM_TP,Muntinlupa City PH - HGS,Partner,PARTNER,Active,Partner,Partner,Partner,,,Authoritative,NMS,20260603r19,v5.19,,
10.8.34.20/30,30.0,10.8.34.20,10.8.34.23,PH_MUN_MM_TP,Muntinlupa City PH - HGS,Partner,PARTNER,Active,Partner,Partner,Partner,,,Authoritative,NMS,20260603r19,v5.19,,
10.8.38.12/30,30.0,10.8.38.12,10.8.38.15,LK_CMB_WP_TP,Colombo LK - Virtusa,Partner,PARTNER,Active,Partner,Partner,Partner,,,Authoritative,NMS,20260603r19,v5.19,,
10.8.104.0/24,24.0,10.8.104.0,10.8.104.255,PH_QCY_RM_TP3,Quezon City PH - Concentrix 2,Partner,PARTNER,Active,Partner,Partner,Partner,,,Authoritative,NMS,20260603r19,v5.19,,
10.8.104.8/30,30.0,10.8.104.8,10.8.104.11,PH_QCY_RM_TP3,Quezon City PH - Concentrix 2,Partner,PARTNER,Active,Partner,Partner,Partner,,,Authoritative,NMS,20260603r19,v5.19,,
10.8.104.12/30,30.0,10.8.104.12,10.8.104.15,PH_QCY_RM_TP3,Quezon City PH - Concentrix 2,Partner,PARTNER,Active,Partner,Partner,Partner,,,Authoritative,NMS,20260603r19,v5.19,,
10.8.104.16/30,30.0,10.8.104.16,10.8.104.19,PH_QCY_RM_TP3,Quezon City PH - Concentrix 2,Partner,PARTNER,Active,Partner,Partner,Partner,,,Authoritative,NMS,20260603r19,v5.19,,
10.8.104.20/30,30.0,10.8.104.20,10.8.104.23,PH_QCY_RM_TP3,Quezon City PH - Concentrix 2,Partner,PARTNER,Active,Partner,Partner,Partner,,,Authoritative,NMS,20260603r19,v5.19,,
10.8.149.0/24,24.0,10.8.149.0,10.8.149.255,US_SPK_NV_CI,Sparks NV - Switch TRE,DR,SWITCH,Active,DR,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.8.149.8/30,30.0,10.8.149.8,10.8.149.11,US_SPK_NV_CI,Sparks NV - Switch TRE,DR,SWITCH,Active,DR,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.8.149.12/30,30.0,10.8.149.12,10.8.149.15,US_SPK_NV_CI,Sparks NV - Switch TRE,DR,SWITCH,Active,DR,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.8.149.16/30,30.0,10.8.149.16,10.8.149.19,US_SPK_NV_CI,Sparks NV - Switch TRE,DR,SWITCH,Active,DR,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.8.149.20/30,30.0,10.8.149.20,10.8.149.23,US_SPK_NV_CI,Sparks NV - Switch TRE,DR,SWITCH,Active,DR,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.8.186.0/24,24.0,10.8.186.0,10.8.186.255,US_ATL_GA_DC,Atlanta GA - Aetna DC,DataCenter,SWITCH,Active,DataCenter,COLO,Datacenter,,,Inferred,Manual,20260603r19,v5.19,,
10.8.186.8/30,30.0,10.8.186.8,10.8.186.11,US_ATL_GA_DC,Atlanta GA - Aetna DC,DataCenter,SWITCH,Active,DataCenter,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
