SITE_CODE,CANONICAL_NAME,LOCATION_TYPE,CITY,STATE,COUNTRY,ADDRESS,BASE_IP,HERITAGE,STATUS,NET_TYPE,DATASET_VERSION,HOSTNAME_PREFIX,LATITUDE,LONGITUDE,REGION,FACILITY_OWNER,CSNA_SITE_NAME,NMS_PATH_FRAGMENT,NOTE
US_ANC_AK_INS-CC,Anchorage AK - Call Center,Call-Center,Anchorage,AK,US,"2525 C Street Suite 205, Anchorage, AK",,AETNA,Retired,Call-Center,v5.20,us-anc-ak-ins-cc,,,West,Leased,,MERITAIN,"Retired 2026-08-01 via audit_lm_all_ip.py -- duplicate active SITE_CODE, real replacement already in use."
US_ATL_GA_CI,Atlanta GA - Switch COLO,COLO,Atlanta,GA,US,"Atlanta, GA",,,Active,,v5.20,us-atl-ga-ci,,,Southeast,Switch,,,
US_BLB_PA_INS-CC,Blue Bell PA - Call Center,Call-Center,Blue Bell,PA,US,"Union Meeting Road, Blue Bell, PA",,AETNA,Retired,Call-Center,v5.20,us-blb-pa-ins-cc,,,Northeast,Leased,,,
US_CHD_AZ_CVS-CC,Chandler AZ - Call Center,Call-Center,Chandler,AZ,US,"2700 West Frye Road, Chandler, AZ",,CVS,Retired,Call-Center,v5.20,us-chd-az-cvs-cc,,,West,Leased,,"OMNICARE,CALL CENTER","Retired 2026-08-01 via audit_lm_all_ip.py -- duplicate active SITE_CODE, real replacement already in use."
US_FRK_TN_INS-CC,Franklin TN - Call Center,Call-Center,Franklin,TN,US,"1021 Reams Fleming Boulevard, Franklin, TN",,AETNA,Retired,Call-Center,v5.20,us-frk-tn-ins-cc,,,Southeast,Leased,,AETNA,"Retired 2026-08-01 via audit_lm_all_ip.py -- duplicate active SITE_CODE, real replacement already in use."
US_HPT_NC_INS-CC,High Point NC - Call Center,Call-Center,High Point,NC,US,"4050 Piedmont Parkway, High Point, NC",,AETNA,Retired,Call-Center,v5.20,us-hpt-nc-ins-cc,,,Southeast,Leased,,"CORP,AETNA","Retired 2026-08-01 via audit_lm_all_ip.py -- duplicate active SITE_CODE, real replacement already in use."
US_HNL_HI_CVS-CC,Honolulu HI - Call Center,Call-Center,Honolulu,HI,US,"2969 Mapunapuna Place, Honolulu, HI",,CVS,Retired,Call-Center,v5.20,us-hnl-hi-cvs-cc,,,West,Leased,,"MAIL ORDER,SPECIALTY2","Retired 2026-08-01 via audit_lm_all_ip.py -- duplicate active SITE_CODE, real replacement already in use."
US_JAX_FL_INS-CC,Jacksonville FL - Call Center,Call-Center,Jacksonville,FL,US,"9000 Southside Boulevard, Jacksonville, FL",,AETNA,Retired,Call-Center,v5.20,us-jax-fl-ins-cc,,,Southeast,Leased,,"OMNICARE,AETNA","Retired 2026-08-01 via audit_lm_all_ip.py -- duplicate active SITE_CODE, real replacement already in use."
US_LVG_NV_CVS-CC,Las Vegas NV - Call Center,Call-Center,Las Vegas,NV,US,"1451 Center Crossing Road, Las Vegas, NV",,CVS,Retired,Call-Center,v5.20,us-lvg-nv-cvs-cc,,,West,Leased,,"SPECIALTY,OMNICARE,Call Center,DATACENTER","Retired 2026-08-01 via audit_lm_all_ip.py -- duplicate active SITE_CODE, real replacement already in use."
US_LEE_MO_CVS-CC,Lees Summit MO - Call Center,Call-Center,Lees Summit,MO,US,"800 NW Chipman Road, Lees Summit, MO",,CVS,Retired,Call-Center,v5.20,us-lee-mo-cvs-cc,,,Midwest,Leased,,,"Retired 2026-08-01 via audit_lm_all_ip.py -- duplicate active SITE_CODE, real replacement already in use."
